problem_description,question,answer,incorrect,is_ref
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","An object on which a net force is being applied will move with a constant acceleration that is inversely proportional to the object's mass and that has the same direction as the force.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given the non-zero net force acting on the meteor, what does Newton's second law say about the acceleration of the meteor?","The acceleration of the meteor is a non zero net force that is acting in the same direction as the net force.","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given the non-zero net force acting on the meteor, what does Newton's second law say about the acceleration of the meteor?","According to Newton's second law, a non-zero net force means a non-zero acceleration in the direction of the net force.","0","1"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","THE TENSION FORCE IS GREATER THAN THE FORCE OF GRAVITY","3","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The amount of tension in the rope is the same as the child's weight.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given the non-zero net force acting on the meteor, what does Newton's second law say about the acceleration of the meteor?","The acceleration of the meteor will increase when there is a net force applied to it.","3","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given the non-zero net force acting on the meteor, what does Newton's second law say about the acceleration of the meteor?","Because there is a net force acting on the meteor, which is the same as the push from the rocket as no other forces are acting on it, the meteor will move with a non-zero acceleration in the direction of the net force.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because it is a vector, acceleration provides what two types of information?","Change in speed and direction.","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because it is a vector, acceleration provides what two types of information?","Acceleration has both magnitude and direction.","0","1"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Which horizontal forces acting on the box balance each other?","The frictional force is acting on the box and the force of the mover pushing the box","0","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Which horizontal forces acting on the box balance each other?","Friction balances the push.","0","1"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","There is a normal force acting upward from the carpet onto the box and a gravitational force acting on the carpet from the box. The normal force and the gravitational force balance each other. There is a force on the box from the push. There is a frictional force acting on the box horizontally by the carpet. The force that accelerates the box must be larger than the frictional force acting on the box.","0","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","push, friction, gravity, normal. The normal force and the gravitational force balance each other.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","the meteor will move with a constant velocity along the direction of the force","2","0"
"A car windshield collides with a mosquito, squashing it.","Can you articulate a principle or definition which justifies your answer?","newtons third law","1","0"
"A car windshield collides with a mosquito, squashing it.","Can you articulate a principle or definition which justifies your answer?","According to Newton's third law, for every action, there is an equal and opposite reaction.","0","1"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","Kinetic friction and gravitational force are balanced by normal force and the force exerted by the man pushing the box.","0","0"
"A car windshield collides with a mosquito, squashing it.","How do the amounts of the force exerted on the windshield by the mosquito and the force exerted on the mosquito by the windshield compare?","The forces excerted by each are equal because they cancel each other.","0","0"
"A car windshield collides with a mosquito, squashing it.","How do the amounts of the force exerted on the windshield by the mosquito and the force exerted on the mosquito by the windshield compare?","The force exerted by the windshield on the mosquito and the force exerted by the mosquito on the windshield are equal.","0","1"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the speed of the desk?","The speed of the desk will increase and then remain constant at the new speed","2","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the speed of the desk?","The desk increases its speed as the net force is non-zero.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because it is a vector, acceleration provides what two types of information?","direction and magnitude","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because it is a vector, acceleration provides what two types of information?","Acceleration provides us with acceleration and magnitude","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","a force in the direction of motion. a normal force that balances the weight","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","The forces are mover on box, friction from floor on box, the gravity from earth on box, and the normal from floor on box. The normal force balances gravity.","0","1"
"A car windshield collides with a mosquito, squashing it.","How does Newton's third law apply to this situation?","The force exerted on the windshield by the mosquito will be equal to the the force exerted on the mosquito by the windshield, but in opposite directions.","0","0"
"A car windshield collides with a mosquito, squashing it.","How does Newton's third law apply to this situation?","The action  is the windshield squashing the mosquito, and the equal and opposite reaction is the mosquito hitting the windshield.","0","1"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the amounts of the tension in the rope pulling the child and the force of gravity pulling the child downwards?","The tension balances out his weight","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the amounts of the tension in the rope pulling the child and the force of gravity pulling the child downwards?","The amount of tension in the rope is the same as the magnitude of the downward force of gravity.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","the meteor will move at a constant velocity","3","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","According to Newton's second law, a non-zero net force means a non-zero acceleration in the direction of the net force.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","it will remain constant unless acted upon by another force","3","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","The meteor will move with increasing velocity.","0","1"
"A car windshield collides with a mosquito, squashing it.","How do the amounts of the force exerted on the windshield by the mosquito and the force exerted on the mosquito by the windshield compare?","The two forces are equal in magnitude and opposite in direction. This follows Newton's third law which states for every action, there is an equal reaction in an opposing direction.","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because the ball's velocity is upward while the ball is moving upward and its acceleration is downward, what is happening to the ball's velocity?","The balls velocity is decreasing.","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because the ball's velocity is upward while the ball is moving upward and its acceleration is downward, what is happening to the ball's velocity?","Since the ball's acceleration is in the opposite direction of it's velocity, the ball is slowing down.","0","1"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Which other Newton law is relevant now given that we established that there is a non-zero net force on the desk after the mover doubles his force?","newton's second law","0","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Which other Newton law is relevant now given that we established that there is a non-zero net force on the desk after the mover doubles his force?","When the mover doubles his force, the push is greater than friction resulting in a non-zero net force acting on the desk and so Newton's second law can be applied.","0","1"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","A force from the push, a force fo friction, a force of gravity, and a normal force","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","push, friction, gravity, normal. The force of the mover pushing and the force of friction balance each other.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","Gravity is the only force acting on the ball. Since the ball's acceleration is in the opposite direction of it's velocity, the ball is slowing down.","0","1"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the net force on the kid?","zero","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the net force on the kid?","The net force on the kid is zero.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because the ball's velocity is upward while the ball is moving upward and its acceleration is downward, what is happening to the ball's velocity?","The ball is slowing down at a constant rate.","0","1"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","Can you articulate Newton's first law?","Any object at rest will remain at rest unless acted upon by an outside force or remain at a constant velocity unless acted upon by an outside force","0","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","Can you articulate Newton's first law?","When the object is in equilibrium or velocity is constant, the sum of all forces will equal 0","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","Newtons second law states that acceleration equals the net force divided by the objects mass.","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","The sum of the forces equals mass times acceleration.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","constant","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","The ball's acceleration is downward.","0","1"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Because the net force on the desk was zero before the mover doubled his force, what can you say about the relative magnitude of the mover's push and the opposing force of friction acting on the desk?","The mover's push is larger thatn the opposing friction force acting on the desk","2","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Because the net force on the desk was zero before the mover doubled his force, what can you say about the relative magnitude of the mover's push and the opposing force of friction acting on the desk?","Because the net force on the desk is zero, the mover's push is equal and opposite to the force of friction acting on the desk.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","it will move with a constant speed and a constant acceleration","2","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","The meteor moves with constant acceleration and its velocity will keep increasing in the direction of the force as long as the rocket pushes.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","The meteor will continue to move at a constant velocity because no force is acting on it to slow it down.","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","Because the meteor's acceleration is constant while the rocket pushes, the meteor will move with increasing velocity.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","that the meteor's motion will be increasing in speed as time expires","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","Because the meteor's acceleration is constant while the rocket pushes, the meteor will move with increasing velocity.","0","1"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","The mover, gravity, and friction are all acting on the box. The weight of the box and normal force are balancing each other out.","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","The forces are the force of the mover pushing on the box, the force of friction from the floor on the box, the gravitational force from the earth on the box, and the normal force from the floor on the box. The normal force balances gravity.","0","1"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the amounts of the tension in the rope pulling the child and the force of gravity pulling the child downwards?","the amounts of tension in the rope and the force of gravity pulling the child downwards balance out","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the amounts of the tension in the rope pulling the child and the force of gravity pulling the child downwards?","The amount of tension in the rope is the same as the child's weight.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","Deals with non-zero net forces and where the object will go at a certain speed.","3","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The tension in the rope is equal in magnitude to the downward force of gravity acting on the child. This is because of Newton's first law. There are only vertical forces acting in this instance, and since there is constant speed, then the acceleration is zero. Due to Newton's second law, when the acceleration is zero, then the Net Force is also zero. This explains why the force of tension and the downward force of gravity acting on the child balance eachother out.","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","All forces balance.","0","1"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","One force acting on the object is the horizontal push given by the mover. It is possible that a kinetic frictional force is acting on the object in the opposite direction of the force caused by the push. Since the box is on the ground, its weight, which is mass multiplied by the gravitational force is acting on it. The force of its weight is being balanced by the normal force acting on it.","0","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","The forces are the force of the mover pushing on the box, the force of friction from the floor on the box, the gravitational force from the earth on the box, and the normal force from the floor on the box. The force of friction balances the force of the mover pushing.","0","1"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","How will the meteor move after the rocket stops pushing?","The meteor's velocity will decrease once the rocket stops pushing on the it. The reason being is that there is no force increase the velocity of the meteor anymore.","2","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","How will the meteor move after the rocket stops pushing?","When the rocket stops pushing, no forces are acting on the meteor anymore and therefore will move with constant velocity in a straight line.","0","1"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Because the net force on the desk was zero before the mover doubled his force, what can you say about the relative magnitude of the mover's push and the opposing force of friction acting on the desk?","The magnitude of the mover's push is greater than the magnitude of the opposing frictional force acting on the desk.","3","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Because the net force on the desk was zero before the mover doubled his force, what can you say about the relative magnitude of the mover's push and the opposing force of friction acting on the desk?","Because the net force on the desk is zero, the force of push on the desk by the mover has the same magnitude but opposite direction to the force friction.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","The meteor will move with the speed and direction that the rocket is pushing it. This is because Newton's second law of motion states that when a force is acting on an object, that object will move with the force being exerted upon it, unless some other force interupts the first one.","3","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","Because there is a net force acting on the meteor, which is the same as the push from the rocket as no other forces are acting on it, the meteor will move with a non-zero acceleration in the direction of the net force.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","Gravity is the force acting on the object between the players hand and the ground.","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","The only force acting on the ball is the downward force of gravity. The ball is slowing down.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","THAT IS REMAINS CONSTANT","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","The direction of the ball's acceleration is the same as the downward direction of the force.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","the force that was exerted by the floor when the ball bounced and gravity","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","The ball's weight is the only force acting on the ball. The ball is slowing down.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","the forces of gravity and the push from the floor are acting upon the ball. The motion of the ball is upwards and towards the player's hand.","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","The only force acting on the ball is the downward force of gravity. The ball's velocity is decreasing.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","it is in the same direction displacement","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","The force from the ball bouncing off the ground, the normal force, and gravity are acting on the ball as it is moving upward and it is midway between the player's hand. The motion of the ball is upward at the same angle at which it struck the ground.","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","The ball's weight is the only force acting on the ball. Since the ball's acceleration is in the opposite direction of it's velocity, the ball's velocity is decreasing.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","The forces acting on the ball are gravity and the normal force from the ball. The ball moves verticallt upward at a constant velocity.","3","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","The frictional force is acting on the box as well as the man pushing the box. The force of the weight and the force of gravity balance each other out due to Newtons third law.","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","The forces are mover on box, friction from floor on box, the gravity from earth on box, and the normal from floor on box. Friction balances the push.","0","1"
"A car windshield collides with a mosquito, squashing it.","Can you articulate a principle or definition which justifies your answer?","applied force is equal to reaction force","1","0"
"A car windshield collides with a mosquito, squashing it.","Can you articulate a principle or definition which justifies your answer?","Whenever one object exerts a force on a second object, the second object exerts an equal and opposite force on the first","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","gravity and kinetic forces","3","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","The forces acting on the box are a frictional force and gravity as well as the force exerted by the mover.","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","push, friction, gravity, normal. Friction balances the push.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","The net force equals mass times acceleration.","0","1"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The tension in the rope is equal to the downward force of gravity acting on the child.","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The amount of tension in the rope is equal to the child's weight.","0","1"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Can you articulate the definition or principle that helps us determine the forces?","For ever reaction there is an equal reaction.","3","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Can you articulate the definition or principle that helps us determine the forces?","An object at rest will stay at rest and an object moving with constant velocity in a straight line will continue moving with constant velocity in a straight line as long as the net force acting on the object is zero.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given the non-zero net force acting on the meteor, what does Newton's second law say about the acceleration of the meteor?","The acceleration of the meteor is increasing.","2","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given the non-zero net force acting on the meteor, what does Newton's second law say about the acceleration of the meteor?","The push from the rocket will make the meteor move with increasing velocity.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because it is a vector, acceleration provides what two types of information?","magnitude and acceleration","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because it is a vector, acceleration provides what two types of information?","x and y component","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because it is a vector, acceleration provides what two types of information?","Acceleration tells you both magnitude and direction.","0","1"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","Can you name which of Newton's laws is relevant to this problem and why?","Newton's first law, as everything at rest or in motion will continue to be in rest or in motion unless an outside force is acted upon it, and there are no outside forces acting on it.","0","0"
